Entity;Code;Year;GDP per capita growth (annual %)
Turkey;TUR;1993;5,931883335
Turkey;TUR;1994;-6,175858974
Turkey;TUR;1995;6,17718792
Turkey;TUR;1996;5,686793327
Turkey;TUR;1997;5,88612175
Turkey;TUR;1998;0,806059062
Turkey;TUR;1999;-4,75058651
Turkey;TUR;2000;5,322135925
Turkey;TUR;2001;-7,147845745
Turkey;TUR;2002;4,890330791
Turkey;TUR;2003;4,252446175
Turkey;TUR;2004;8,286032677
Turkey;TUR;2005;7,559697151
Turkey;TUR;2006;5,620645523
Turkey;TUR;2007;3,797987461
Turkey;TUR;2008;-0,38292262
Turkey;TUR;2009;-6,027912617
Turkey;TUR;2010;6,919606686
Turkey;TUR;2011;9,509983063
Turkey;TUR;2012;3,09310174
Turkey;TUR;2013;6,664883614
Turkey;TUR;2014;3,16809082
Turkey;TUR;2015;4,328127861
Turkey;TUR;2016;1,642463446
Turkey;TUR;2017;5,794264317
Turkey;TUR;2018;1,449522495
Turkey;TUR;2019;-0,427943736
Turkey;TUR;2020;0,695873082
United Kingdom;GBR;1961;1,899261951
United Kingdom;GBR;1962;0,248518869
United Kingdom;GBR;1963;4,092468739
United Kingdom;GBR;1964;4,849645138
United Kingdom;GBR;1965;1,488048434
United Kingdom;GBR;1966;1,014665365
United Kingdom;GBR;1967;2,234412432
United Kingdom;GBR;1968;4,929076672
United Kingdom;GBR;1969;1,501173019
United Kingdom;GBR;1970;5,894837379
United Kingdom;GBR;1971;3,07331419
United Kingdom;GBR;1972;3,968556166
United Kingdom;GBR;1973;6,318244934
United Kingdom;GBR;1974;-2,545877218
United Kingdom;GBR;1975;-1,466335177
United Kingdom;GBR;1976;2,935589075
United Kingdom;GBR;1977;2,491437912
United Kingdom;GBR;1978;4,198675632
United Kingdom;GBR;1979;3,655965567
United Kingdom;GBR;1980;-2,148387194
United Kingdom;GBR;1981;-0,822285235
United Kingdom;GBR;1982;2,031455755
United Kingdom;GBR;1983;4,186321259
United Kingdom;GBR;1984;2,107380152
United Kingdom;GBR;1985;3,911319256
United Kingdom;GBR;1986;2,911710262
United Kingdom;GBR;1987;5,168872356
United Kingdom;GBR;1988;5,497880936
United Kingdom;GBR;1989;2,310928583
United Kingdom;GBR;1990;0,43308118
United Kingdom;GBR;1991;-1,40848577
United Kingdom;GBR;1992;0,129933044
United Kingdom;GBR;1993;2,244410515
United Kingdom;GBR;1994;3,581967592
United Kingdom;GBR;1995;2,260783672
United Kingdom;GBR;1996;2,168064594
United Kingdom;GBR;1997;4,639176846
United Kingdom;GBR;1998;2,853813887
United Kingdom;GBR;1999;2,647308111
United Kingdom;GBR;2000;3,302607775
United Kingdom;GBR;2001;1,680456519
United Kingdom;GBR;2002;1,691811085
United Kingdom;GBR;2003;2,551255703
United Kingdom;GBR;2004;1,774937868
United Kingdom;GBR;2005;1,891275764
United Kingdom;GBR;2006;1,832826138
United Kingdom;GBR;2007;1,476241469
United Kingdom;GBR;2008;-1,021703124
United Kingdom;GBR;2009;-4,968888283
United Kingdom;GBR;2010;1,333971143
United Kingdom;GBR;2011;0,667756081
United Kingdom;GBR;2012;0,766760945
United Kingdom;GBR;2013;1,209899664
United Kingdom;GBR;2014;2,235458136
United Kingdom;GBR;2015;1,812661648
United Kingdom;GBR;2016;1,491364241
United Kingdom;GBR;2017;1,442929387
United Kingdom;GBR;2018;1,036855221
United Kingdom;GBR;2019;1,099995971
United Kingdom;GBR;2020;-9,906992912
United States;USA;1961;0,618121207
United States;USA;1962;4,480669498
United States;USA;1963;2,908272028
United States;USA;1964;4,340548992
United States;USA;1965;5,07809782
United States;USA;1966;5,277113914
United States;USA;1967;1,389951229
United States;USA;1968;3,758819342
United States;USA;1969;2,097369671
United States;USA;1970;-1,500876546
United States;USA;1971;1,995600224
United States;USA;1972;4,138096809
United States;USA;1973;4,642155647
United States;USA;1974;-1,445134401
United States;USA;1975;-1,184581399
United States;USA;1976;4,391462803
United States;USA;1977;3,577146769
United States;USA;1978;4,4229846
United States;USA;1979;2,033887148
United States;USA;1980;-1,209298253
United States;USA;1981;1,536320329
United States;USA;1982;-2,734569788
United States;USA;1983;3,631979227
United States;USA;1984;6,312167645
United States;USA;1985;3,250656366
United States;USA;1986;2,510885954
United States;USA;1987;2,538623571
United States;USA;1988;3,235416174
United States;USA;1989;2,698166609
United States;USA;1990;0,741486073
United States;USA;1991;-1,434200168
United States;USA;1992;2,096612692
United States;USA;1993;1,405708551
United States;USA;1994;2,760882378
United States;USA;1995;1,46871829
United States;USA;1996;2,572259188
United States;USA;1997;3,132595062
United States;USA;1998;3,270524025
United States;USA;1999;3,557193041
United States;USA;2000;2,975208521
United States;USA;2001;0,003648976
United States;USA;2002;0,802103877
United States;USA;2003;1,980925798
United States;USA;2004;2,842680693
United States;USA;2005;2,563502312
United States;USA;2006;1,867955565
United States;USA;2007;0,911865592
United States;USA;2008;-1,076700091
United States;USA;2009;-3,387435675
United States;USA;2010;1,716400266
United States;USA;2011;0,815453112
United States;USA;2012;1,502187848
United States;USA;2013;1,138896585
United States;USA;2014;1,776837707
United States;USA;2015;2,319441557
United States;USA;2016;0,977012694
United States;USA;2017;1,687321424
United States;USA;2018;2,455679178
United States;USA;2019;1,697011352
United States;USA;2020;-4,32861948
Yemen;YEM;1991;1,1772542
Yemen;YEM;1992;2,761114836
Yemen;YEM;1993;-1,184560776
Yemen;YEM;1994;1,769113421
Yemen;YEM;1995;1,306812286
Yemen;YEM;1996;0,874418437
Yemen;YEM;1997;1,895463228
Yemen;YEM;1998;2,948152304
Yemen;YEM;1999;0,887854874
Yemen;YEM;2000;3,206016302
Yemen;YEM;2001;0,853210509
Yemen;YEM;2002;0,974937022
Yemen;YEM;2003;0,789261401
Yemen;YEM;2004;1,019040346
Yemen;YEM;2005;2,612533331
Yemen;YEM;2006;0,276761264
Yemen;YEM;2007;0,450023085
Yemen;YEM;2008;0,761275113
Yemen;YEM;2009;0,98632592
Yemen;YEM;2010;4,732904911
Yemen;YEM;2011;-15,10791874
Yemen;YEM;2012;-0,391864479
Yemen;YEM;2013;2,014174938
Yemen;YEM;2014;-2,802862406
Yemen;YEM;2015;-29,82714462
Yemen;YEM;2016;-11,61113739
Yemen;YEM;2017;-7,345180511
Yemen;YEM;2018;-1,594563842
